Keyname			Filename		TilesX	TilesY	TileCount	FrameRate	Collides
Title			title.png		1	1	1		1		no
Keyboard		keyboard.png		1	1	1		1		no
Player1			player1.png		2	2	4		25		yes
Player2			player2.png		2	2	4		25		yes
Bullet			bullet.png		3	1	3		30		yes
Missile			missile.png		2	1	2		30		yes
Flames			flames.png		4	4	16		20		yes
Plasma			plasma.png		2	1	2		15		yes
Slime			slime.png		2	1	2		15		yes
Needle			needle.png		2	1	2		15		yes
NeonOrb			neonorb.png		3	2	6		20		yes
NeonCross		neoncross.png		3	2	6		15		yes
Asteroid		asteroid.png		5	6	30		25		yes
StraightShooter		straightshooter.png	2	1	2		10		yes
TargetShooter		targetshooter.png	4	2	8		30		yes
Kamikaze		kamikaze.png		4	2	8		35		yes
LeftHand		lefthand.png		1	1	1		1		yes
RightHand		righthand.png		1	1	1		1		yes
Boss			boss.png		1	1	1		1		yes
ItemHealth		itemhealth.png		1	1	1		1		yes
ItemSpeed		itemspeed.png		1	1	1		1		yes
ItemMissiles		itemmissiles.png	1	1	1		1		yes
ItemFireball		itemfireball.png	1	1	1		1		yes
ItemPlasma		itemplasma.png		1	1	1		1		yes
Star1			star1.png		1	1	1		1		no
Star2			star2.png		1	1	1		1		no
Star3			star3.png		1	1	1		1		no
Explosion		explosion.png		3	5	15		30		no
Flash			flash.png		4	4	16		60		no
